C:\Users\Kruthika\Desktop\IMG\center_2021_12_29_10_30_45_853.jpg, C:\Users\Kruthika\Desktop\IMG\left_2021_12_29_10_30_45_853.jpg, C:\Users\Kruthika\Desktop\IMG\right_2021_12_29_10_30_45_853.jpg, 0, 0, 0, 7.899963E-05
C:\Users\Kruthika\Desktop\IMG\center_2021_12_29_10_30_45_955.jpg, C:\Users\Kruthika\Desktop\IMG\left_2021_12_29_10_30_45_955.jpg, C:\Users\Kruthika\Desktop\IMG\right_2021_12_29_10_30_45_955.jpg, 0, 0, 0, 7.802941E-05
C:\Users\Kruthika\Desktop\IMG\center_2021_12_29_10_30_46_057.jpg, C:\Users\Kruthika\Desktop\IMG\left_2021_12_29_10_30_46_057.jpg, C:\Users\Kruthika\Desktop\IMG\right_2021_12_29_10_30_46_057.jpg, 0, 0, 0, 7.844169E-05
C:\Users\Kruthika\Desktop\IMG\center_2021_12_29_10_30_46_158.jpg, C:\Users\Kruthika\Desktop\IMG\left_2021_12_29_10_30_46_158.jpg, C:\Users\Kruthika\Desktop\IMG\right_2021_12_29_10_30_46_158.jpg, 0, 0, 0, 8.060558E-05
C:\Users\Kruthika\Desktop\IMG\center_2021_12_29_10_30_46_258.jpg, C:\Users\Kruthika\Desktop\IMG\left_2021_12_29_10_30_46_258.jpg, C:\Users\Kruthika\Desktop\IMG\right_2021_12_29_10_30_46_258.jpg, 0, 0, 0, 7.825604E-05
C:\Users\Kruthika\Desktop\IMG\center_2021_12_29_10_30_46_361.jpg, C:\Users\Kruthika\Desktop\IMG\left_2021_12_29_10_30_46_361.jpg, C:\Users\Kruthika\Desktop\IMG\right_2021_12_29_10_30_46_361.jpg, 0, 0, 0, 7.811929E-05
C:\Users\Kruthika\Desktop\IMG\center_2021_12_29_10_30_46_464.jpg, C:\Users\Kruthika\Desktop\IMG\left_2021_12_29_10_30_46_464.jpg, C:\Users\Kruthika\Desktop\IMG\right_2021_12_29_10_30_46_464.jpg, 0, 0, 0, 7.808341E-05
C:\Users\Kruthika\Desktop\IMG\center_2021_12_29_10_30_46_565.jpg, C:\Users\Kruthika\Desktop\IMG\left_2021_12_29_10_30_46_565.jpg, C:\Users\Kruthika\Desktop\IMG\right_2021_12_29_10_30_46_565.jpg, 0, 0, 0, 8.019823E-05
C:\Users\Kruthika\Desktop\IMG\center_2021_12_29_10_30_46_668.jpg, C:\Users\Kruthika\Desktop\IMG\left_2021_12_29_10_30_46_668.jpg, C:\Users\Kruthika\Desktop\IMG\right_2021_12_29_10_30_46_668.jpg, 0, 0, 0, 7.813094E-05
C:\Users\Kruthika\Desktop\IMG\center_2021_12_29_10_30_46_768.jpg, C:\Users\Kruthika\Desktop\IMG\left_2021_12_29_10_30_46_768.jpg, C:\Users\Kruthika\Desktop\IMG\right_2021_12_29_10_30_46_768.jpg, 0, 0, 0, 7.751224E-05
C:\Users\Kruthika\Desktop\IMG\center_2021_12_29_10_30_46_874.jpg, C:\Users\Kruthika\Desktop\IMG\left_2021_12_29_10_30_46_874.jpg, C:\Users\Kruthika\Desktop\IMG\right_2021_12_29_10_30_46_874.jpg, 0, 0, 0, 8.032497E-05
C:\Users\Kruthika\Desktop\IMG\center_2021_12_29_10_30_46_976.jpg, C:\Users\Kruthika\Desktop\IMG\left_2021_12_29_10_30_46_976.jpg, C:\Users\Kruthika\Desktop\IMG\right_2021_12_29_10_30_46_976.jpg, 0, 0, 0, 8.025127E-05
C:\Users\Kruthika\Desktop\IMG\center_2021_12_29_10_30_47_079.jpg, C:\Users\Kruthika\Desktop\IMG\left_2021_12_29_10_30_47_079.jpg, C:\Users\Kruthika\Desktop\IMG\right_2021_12_29_10_30_47_079.jpg, 0, 0, 0, 7.782597E-05
C:\Users\Kruthika\Desktop\IMG\center_2021_12_29_10_30_47_181.jpg, C:\Users\Kruthika\Desktop\IMG\left_2021_12_29_10_30_47_181.jpg, C:\Users\Kruthika\Desktop\IMG\right_2021_12_29_10_30_47_181.jpg, 0, 0, 0, 7.766535E-05
C:\Users\Kruthika\Desktop\IMG\center_2021_12_29_10_30_47_282.jpg, C:\Users\Kruthika\Desktop\IMG\left_2021_12_29_10_30_47_282.jpg, C:\Users\Kruthika\Desktop\IMG\right_2021_12_29_10_30_47_282.jpg, 0, 0, 0, 7.814608E-05
C:\Users\Kruthika\Desktop\IMG\center_2021_12_29_10_30_47_386.jpg, C:\Users\Kruthika\Desktop\IMG\left_2021_12_29_10_30_47_386.jpg, C:\Users\Kruthika\Desktop\IMG\right_2021_12_29_10_30_47_386.jpg, 0, 0, 0, 7.947123E-05
C:\Users\Kruthika\Desktop\IMG\center_2021_12_29_10_30_47_489.jpg, C:\Users\Kruthika\Desktop\IMG\left_2021_12_29_10_30_47_489.jpg, C:\Users\Kruthika\Desktop\IMG\right_2021_12_29_10_30_47_489.jpg, -0.0569673, 0, 0, 7.983881E-05
C:\Users\Kruthika\Desktop\IMG\center_2021_12_29_10_30_47_590.jpg, C:\Users\Kruthika\Desktop\IMG\left_2021_12_29_10_30_47_590.jpg, C:\Users\Kruthika\Desktop\IMG\right_2021_12_29_10_30_47_590.jpg, -0.3615048, 0, 0, 9.195953E-05
